"user_id	",sku_id
201409,103652
203624,50688
205855,95850
206143,154636
206484,57018
206544,18412
206606,56792
206967,80462
207048,111999
207073,57161
207089,146704
207097,153645
207147,58475
207155,18412
207157,46911
207237,124997
207240,79520
207274,13785
207277,5505
207288,12564
207289,21147
207334,154636
207357,154636
207363,128988
207390,18412
207391,93295
207433,126535
207450,18412
207493,68767
207494,152478
207522,12564
207526,63006
207601,81708
207982,14163
208000,79520
210412,15259
210801,109083
211454,144267
211928,69355
212752,5825
212996,31662
213743,6486
213968,103234
214839,31662
215525,48895
217763,59175
218204,63006
219543,61531
219973,24371
220282,154732
220724,69209
221414,164252
221992,52343
222683,114640
223769,84409
224144,119979
224533,37995
225515,79636
225886,145974
225890,92909
226388,43062
227236,5505
227849,31493
227959,47107
229250,154636
231687,6533
234139,133029
234379,164211
236261,154732
236950,62351
237453,5505
237523,21147
238419,133477
238606,14163
238689,123016
240871,60230
241653,31662
242259,31662
244001,162658
245751,32465
246639,63006
248451,74517
248572,36307
248604,154636
248713,38955
249048,13334
249668,5505
249736,61226
250674,128747
251443,131300
251511,14433
254179,73469
254797,149641
255053,161641
255317,83144
255365,135409
256534,116489
256571,166707
256833,47895
258422,126146
259260,63006
260185,171182
260329,117452
262167,69209
263525,111225
263572,31662
264402,75877
264647,18412
266966,73842
267010,90621
268485,65520
269595,20308
269984,138151
271419,59820
274051,154636
274276,15106
274370,5825
274616,63006
275530,62872
275634,154636
277327,32465
278405,52343
279866,32465
280250,65520
280664,160476
281411,126146
283182,60230
283335,31662
284471,107090
285478,109728
285597,149641
286766,164258
287186,21147
287249,65520
288172,126146
289428,18412
290923,63006
291403,6533
295940,75877
296717,76959
298241,88295
298461,65520
299721,39830
299781,31662
299869,128747
302029,63006
302115,68767
302912,36307
304114,142477
304731,154636
